,Path,Canonical,Transcript,Speaker,L1
0,L2_arctic_WAV/ABA_arctic_a0003,f ao r dh ah t w eh n t iy ih th t ay m dh ae t iy v n ih ng dh ah t uw m eh n sh uh k hh ae n d z,f ao r dh ah t w eh n t iy ih th t ay m dh ae t iy v n ih ng k dh ah t uw m eh n sh uh k hh ae n s s,ABA,Arabic
1,L2_arctic_WAV/ABA_arctic_a0005,w ih l w iy eh v er f ao r g eh t ih t,w ih l w iy eh v ah f ao r g eh t eh t,ABA,Arabic
2,L2_arctic_WAV/ABA_arctic_a0006,g aa d b l eh s ah m ay hh ow p ay l g ow ao n s iy ih ng dh eh m f er eh v er,g aa d b l eh s dh ah m ay hh ow p ay l g ow ao n s iy ih ng dh eh m f er eh v ah,ABA,Arabic
3,L2_arctic_WAV/ABA_arctic_a0007,ae n d y uw ao l w iy z w ao n t t uw s iy ih t ih n dh ah s uh p er l ah t ih v d ih g r iy,ae n d y uw ao l w iy z w ao n t t uw s iy eh t eh n dh ah s uh b er l ah t ih v d ih g r iy,ABA,Arabic
4,L2_arctic_WAV/ABA_arctic_a0008,g ae d y uh r l eh t er k ey m jh ah s t ih n t ay m,g ae d y uh r l eh t r k ey m jh ah s t ih n t ay m,ABA,Arabic
5,L2_arctic_WAV/ABA_arctic_a0010,ay m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,ay m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,ABA,Arabic
6,L2_arctic_WAV/ABA_arctic_a0011,ih f ay eh v er n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw,ih f ay eh v ah n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw,ABA,Arabic
7,L2_arctic_WAV/ABA_arctic_a0013,hh iy w ao z ah hh eh d sh ao r t er dh ae n hh ih z k ah m p ae n y ah n ah v ao l m ow s t d eh l ah k ah t f ah z iy k,hh iy w ao z ah hh eh d sh ao r t er dh ae n hh ih z k ah m b ae n y ah n ah v ao l m ow s t d eh l ah k ey t f ah z iy k,ABA,Arabic
8,L2_arctic_WAV/ABA_arctic_a0018,dh eh r w aa z ah ch ey n jh n aw,z eh r w aa z ah ch ey n jh n aw,ABA,Arabic
9,L2_arctic_WAV/ABA_arctic_a0019,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r ey l r ow d l uh k ih ng f ao r ch ae n s ih z,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r ey l r ow d l uh k ih ng f ao r ch ae n s ih z,ABA,Arabic
